20;21;22;23;24;25
1.35265;1.3994;1.361399;1.36137;1.3909;1.38445
1.378377;1.451058;1.3957;1.38347;1.422501;1.4072
1.3811;1.45214;1.3985;1.3853;1.4249;1.4079
