80;100;200;300
0.235178784;0.322883245;0.682889165;0.9166575
;0.25;0.75;
;0.339;0.65;
;0.3299;0.69;
;0.32;0.68;
;0.3;0.67;
;0.3;0.5;
;0.322;0.63;
;0.276;0.47;
;0.29;0.64;
;0.315;0.725;
;0.35;;
;0.333;;
