1986;0.25;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;0.339;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;0.3299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;0.3;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;0.3;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;0.322;0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;0.276;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;0.315;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;0.333;0.725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
