"Coefficient of drag over Reynolds number (data by Relf, taken from Tritton 1959)",
Reynolds number,coefficient of drag
11.0895214832699,3.0298011997756
17.4825045430051,2.35415806164202
22.5379255954429,2.06883571080789
24.085373612331,1.97651902280306
28.4361727657533,1.8003266294038
34.4396811003528,1.68906154433436
36.7330007219977,1.62650856545308
40.0339696261803,1.619692927733
45.7239778646189,1.53797739534337
50.3224401033263,1.52846594660009
49.246754585069,1.46351944536295
51.6101713149167,1.41777183173906
57.0234794593907,1.4117755667376
62.2700277707342,1.41142007385611
73.5311830239426,1.39411794013201
74.6892427039655,1.38034692684012
76.6204471779585,1.44729609280835
88.2007796720352,1.39614924350572
100.35310078461,1.38738291524326
103.74298083714,1.36819020460289
111.968187192241,1.37874878807492
113.066199181157,1.36515250990003
124.435182068112,1.34602625547513
130.412464308957,1.32997971315527
151.905228367025,1.3241546544948
156.121029345298,1.31882738633395
183.279054163047,1.31302177972846
190.578776578327,1.27452354307177
