"Coefficient of drag over Reynolds number (data from Weiselsberger, taken from Tritton 1959)",
Reynolds number,coefficient of drag
4.19666810258262,3.65132021890116
7.66252355647375,3.05104480427996
12.3428585947138,2.39406068539592
17.5135714695324,2.16233780442181
24.7511098273398,1.86996200813229
27.5094240556756,1.9029475237836
43.8896401132945,1.63534833389002
73.1107986964518,1.48516413039423
105.800094383753,1.41766207687075
137.763106349581,1.37249504505624
170.481649036883,1.30552972958525
