Strouhal number over Reynolds number. Data from Roshko et al. (1953),
Reynolds number,Strouhal number
46.1566776070874,0.119932551887989
48.8689631325482,0.121956413531172
49.4482151870142,0.124817572899732
50.2207139251943,0.123073019639775
60.5779553775839,0.142892098357821
60.8326896424796,0.136820931711139
61.3387421955388,0.141426679196562
61.5027090786901,0.13751880181479
62.8661717915613,0.138356273824695
66.0054544085619,0.146870038119512
68.1443438396694,0.145893173344785
68.7616596348669,0.147847146892577
69.3321277491641,0.15091765683516
70.2832332707768,0.144916308570058
70.8127096642861,0.148963787858085
76.2021449545326,0.153848913440544
79.3209317111394,0.162851162408082
80.228117531908,0.157896567013098
85.945486588457,0.154965937832012
86.9283118940126,0.164875268049603
87.7945059939934,0.160897642000061
88.6577721139179,0.156989799475194
89.087697185514,0.163409918602154
89.1491847666957,0.16194446458399
90.106146248421,0.155803549269539
93.4328195890232,0.159851167985187
94.4507806552539,0.168923095906684
94.6469553190244,0.164247599753492
96.595526046474,0.167806664082608
97.5788393487057,0.161037697046086
98.6085123351617,0.169830490868885
99.255107930922,0.171086629169932
99.2814597514284,0.170458577447861
101.320797860623,0.171854352512067
101.698507287882,0.162852277829056
102.628628952424,0.174017711490788
103.541670733305,0.168923549046454
104.896349506008,0.169970371630383
105.55758500205,0.170877592308057
108.310862248298,0.171924484605796
111.933261574584,0.16892396732932
112.591569090569,0.169900971531668
113.949175843328,0.170878010590922
114.481580216894,0.174855706354274
115.224799154511,0.173808988341062
115.669364126388,0.17988018984465
116.681957229183,0.172413387561383
120.204805233555,0.17178551012384
120.652298185489,0.177786928102753
120.778201327909,0.174786236541749
121.51849228547,0.173809302053211
121.553628046145,0.172971899757117
122.700420234852,0.178973352592935
126.986983037235,0.176810272469458
127.510603470632,0.180997318806834
128.271390288587,0.179531899645575
129.040961046711,0.177857129910292
132.288578925794,0.183788903792152
134.48309997797,0.18148615204861
136.010529573993,0.178415746676743
136.83280397313,0.175484873497319
138.003020002287,0.180928058135741
139.319635034257,0.182882066540438
140.929048071855,0.177857722477685
142.072912280506,0.183928958838177
144.021483007956,0.187488023167294
