"Strouhal number over Reynolds number. Data from Williamson (1989), taken from Shu (2007)",
Reynolds number,Strouhal number
53.1696279223198,0.123954802259887
55.1469141025314,0.128813559322034
60.4178408282992,0.134124293785311
62.4362822798516,0.13638418079096
64.9160076150738,0.134802259887006
67.2482225962119,0.136497175141243
69.5794884399039,0.138531073446328
70.9477480302489,0.140225988700565
76.6951937931855,0.144745762711864
89.84303003973,0.153446327683616
100.121785631567,0.159322033898305
103.971609526825,0.161129943502825
110.360968787017,0.164745762711864
119.592022708505,0.168587570621469
125.100749260621,0.171864406779661
131.02259500691,0.173559322033898
133.274299136745,0.174011299435028
140.264264625294,0.176610169491525
145.480449181377,0.177401129943503
149.975146587435,0.17864406779661
155.363251871784,0.180338983050848
159.968465223072,0.181016949152542
161.533673584309,0.182146892655367
165.715597013972,0.182824858757062
169.180130567592,0.183954802259887
171.251829782243,0.184745762711864
