"Strouhal number over Reynolds number. Data from Norberg, taken from Shu (2008)",
Reynolds number,Strouhal number
47.0193247101988,0.116949152542373
50.7047620248405,0.124180790960452
54.745660075618,0.129039548022599
59.9052790305837,0.135141242937853
64.6794090254622,0.14045197740113
70.7752548759424,0.146214689265537
78.7765671356415,0.151751412429379
83.6176174089312,0.155706214689266
90.2814938123521,0.159887005649718
100.365802027533,0.165197740112994
111.576512430854,0.169378531073446
126.017665402309,0.175254237288136
144.597805179515,0.181581920903955
163.114196696555,0.187005649717514
184.225782056159,0.191751412429379
249.441345401519,0.199887005649718
358.934988915752,0.202598870056497
